GEOID,NAME,B19013_001E
13089022303,Census Tract 223.03; DeKalb County; Georgia,99669
13089022304,Census Tract 223.04; DeKalb County; Georgia,88472
13089022401,Census Tract 224.01; DeKalb County; Georgia,120000
13089022403,Census Tract 224.03; DeKalb County; Georgia,250001
13089022404,Census Tract 224.04; DeKalb County; Georgia,40191
13089022405,Census Tract 224.05; DeKalb County; Georgia,59519
13089022501,Census Tract 225.01; DeKalb County; Georgia,109943
13089022502,Census Tract 225.02; DeKalb County; Georgia,205469
13089022601,Census Tract 226.01; DeKalb County; Georgia,79550
13089022602,Census Tract 226.02; DeKalb County; Georgia,154044
13089022700,Census Tract 227; DeKalb County; Georgia,174750
13089022800,Census Tract 228; DeKalb County; Georgia,159821
13089022900,Census Tract 229; DeKalb County; Georgia,108895
13089023000,Census Tract 230; DeKalb County; Georgia,121776
13089023101,Census Tract 231.01; DeKalb County; Georgia,69179
13089023102,Census Tract 231.02; DeKalb County; Georgia,54056
13089023107,Census Tract 231.07; DeKalb County; Georgia,66455
13089023108,Census Tract 231.08; DeKalb County; Georgia,37245
13089023111,Census Tract 231.11; DeKalb County; Georgia,45795
13089023112,Census Tract 231.12; DeKalb County; Georgia,37198
13089023113,Census Tract 231.13; DeKalb County; Georgia,46000
13089023114,Census Tract 231.14; DeKalb County; Georgia,50069
13089023115,Census Tract 231.15; DeKalb County; Georgia,-666666666
13089023209,Census Tract 232.09; DeKalb County; Georgia,77917
13089023211,Census Tract 232.11; DeKalb County; Georgia,67870
13089023212,Census Tract 232.12; DeKalb County; Georgia,64698
13089023213,Census Tract 232.13; DeKalb County; Georgia,64524
13089023214,Census Tract 232.14; DeKalb County; Georgia,60647
13089023215,Census Tract 232.15; DeKalb County; Georgia,48417
13089023216,Census Tract 232.16; DeKalb County; Georgia,66105
13089023217,Census Tract 232.17; DeKalb County; Georgia,70018
13089023218,Census Tract 232.18; DeKalb County; Georgia,33899
13089023219,Census Tract 232.19; DeKalb County; Georgia,66094
13089023220,Census Tract 232.20; DeKalb County; Georgia,61795
13089023221,Census Tract 232.21; DeKalb County; Georgia,69761
13089023222,Census Tract 232.22; DeKalb County; Georgia,44357
13089023311,Census Tract 233.11; DeKalb County; Georgia,80233
13089023313,Census Tract 233.13; DeKalb County; Georgia,59054
13089023315,Census Tract 233.15; DeKalb County; Georgia,79380
13089023317,Census Tract 233.17; DeKalb County; Georgia,27458
13089023318,Census Tract 233.18; DeKalb County; Georgia,87813
13089023319,Census Tract 233.19; DeKalb County; Georgia,71233
13089023320,Census Tract 233.20; DeKalb County; Georgia,34663
13089023321,Census Tract 233.21; DeKalb County; Georgia,61211
13089023322,Census Tract 233.22; DeKalb County; Georgia,44280
13089023323,Census Tract 233.23; DeKalb County; Georgia,71157
13089023324,Census Tract 233.24; DeKalb County; Georgia,100446
13089023325,Census Tract 233.25; DeKalb County; Georgia,97232
13089023326,Census Tract 233.26; DeKalb County; Georgia,94904
13089023327,Census Tract 233.27; DeKalb County; Georgia,60462
13089023328,Census Tract 233.28; DeKalb County; Georgia,68614
13089023329,Census Tract 233.29; DeKalb County; Georgia,68239
13089023330,Census Tract 233.30; DeKalb County; Georgia,73528
13089023331,Census Tract 233.31; DeKalb County; Georgia,59375
13089023332,Census Tract 233.32; DeKalb County; Georgia,64902
13089023410,Census Tract 234.10; DeKalb County; Georgia,39500
13089023411,Census Tract 234.11; DeKalb County; Georgia,53783
13089023413,Census Tract 234.13; DeKalb County; Georgia,86458
13089023422,Census Tract 234.22; DeKalb County; Georgia,64028
13089023424,Census Tract 234.24; DeKalb County; Georgia,77284
13089023425,Census Tract 234.25; DeKalb County; Georgia,66742
13089023426,Census Tract 234.26; DeKalb County; Georgia,71192
13089023427,Census Tract 234.27; DeKalb County; Georgia,66250
13089023429,Census Tract 234.29; DeKalb County; Georgia,50528
13089023430,Census Tract 234.30; DeKalb County; Georgia,42105
13089023431,Census Tract 234.31; DeKalb County; Georgia,51618
13089023432,Census Tract 234.32; DeKalb County; Georgia,90770
13089023433,Census Tract 234.33; DeKalb County; Georgia,61438
13089023434,Census Tract 234.34; DeKalb County; Georgia,85105
13089023435,Census Tract 234.35; DeKalb County; Georgia,74839
13089023436,Census Tract 234.36; DeKalb County; Georgia,80230
13089023437,Census Tract 234.37; DeKalb County; Georgia,83710
13089023438,Census Tract 234.38; DeKalb County; Georgia,59930
13089023439,Census Tract 234.39; DeKalb County; Georgia,37602
13089023440,Census Tract 234.40; DeKalb County; Georgia,78415
13089023441,Census Tract 234.41; DeKalb County; Georgia,68793
13089023442,Census Tract 234.42; DeKalb County; Georgia,73017
13089023443,Census Tract 234.43; DeKalb County; Georgia,106194
13089023444,Census Tract 234.44; DeKalb County; Georgia,78605
13089023445,Census Tract 234.45; DeKalb County; Georgia,52313
13089023446,Census Tract 234.46; DeKalb County; Georgia,39141
13089023447,Census Tract 234.47; DeKalb County; Georgia,44158
13089023448,Census Tract 234.48; DeKalb County; Georgia,90101
13089023501,Census Tract 235.01; DeKalb County; Georgia,53490
13089023504,Census Tract 235.04; DeKalb County; Georgia,49156
13089023505,Census Tract 235.05; DeKalb County; Georgia,60625
13089023506,Census Tract 235.06; DeKalb County; Georgia,65642
13089023507,Census Tract 235.07; DeKalb County; Georgia,56467
13089023601,Census Tract 236.01; DeKalb County; Georgia,87292
13089023602,Census Tract 236.02; DeKalb County; Georgia,54412
13089023603,Census Tract 236.03; DeKalb County; Georgia,44714
13089023701,Census Tract 237.01; DeKalb County; Georgia,36700
13089023702,Census Tract 237.02; DeKalb County; Georgia,45147
13089023801,Census Tract 238.01; DeKalb County; Georgia,84329
13089023802,Census Tract 238.02; DeKalb County; Georgia,75658
13089023803,Census Tract 238.03; DeKalb County; Georgia,65357
13089980000,Census Tract 9800; DeKalb County; Georgia,-666666666
13121000100,Census Tract 1; Fulton County; Georgia,154808
13121000201,Census Tract 2.01; Fulton County; Georgia,120982
13121000202,Census Tract 2.02; Fulton County; Georgia,182409
13121000400,Census Tract 4; Fulton County; Georgia,127500
13121000501,Census Tract 5.01; Fulton County; Georgia,103485
13121000502,Census Tract 5.02; Fulton County; Georgia,120357
13121000601,Census Tract 6.01; Fulton County; Georgia,76346
13121000602,Census Tract 6.02; Fulton County; Georgia,65391
13121000700,Census Tract 7; Fulton County; Georgia,103167
13121001001,Census Tract 10.01; Fulton County; Georgia,100278
13121001002,Census Tract 10.02; Fulton County; Georgia,43938
13121001101,Census Tract 11.01; Fulton County; Georgia,123250
13121001102,Census Tract 11.02; Fulton County; Georgia,113689
13121001203,Census Tract 12.03; Fulton County; Georgia,73066
13121001204,Census Tract 12.04; Fulton County; Georgia,104414
13121001205,Census Tract 12.05; Fulton County; Georgia,100245
13121001206,Census Tract 12.06; Fulton County; Georgia,126410
13121001301,Census Tract 13.01; Fulton County; Georgia,71086
