locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13121010223,Fulton,8.1,7.2,9.1,3189,2023,BRFSS
13121010305,Fulton,10.9,9.6,12.3,4307,2023,BRFSS
13121010306,Fulton,10.8,9.6,12.3,5156,2023,BRFSS
13121010307,Fulton,10.8,9.6,12.2,5425,2023,BRFSS
13121010308,Fulton,10.6,9.4,12.0,5787,2023,BRFSS
13121010309,Fulton,10.7,9.4,12.0,3685,2023,BRFSS
13121010310,Fulton,10.5,9.3,11.8,4901,2023,BRFSS
13121010311,Fulton,11.2,10.0,12.7,4615,2023,BRFSS
13121010312,Fulton,10.0,8.8,11.3,3336,2023,BRFSS
13121010313,Fulton,10.5,9.3,11.8,3931,2023,BRFSS
13121010314,Fulton,10.8,9.6,12.2,2161,2023,BRFSS
13121010315,Fulton,11.3,10.1,12.8,5387,2023,BRFSS
13121010401,Fulton,10.5,9.3,11.8,4589,2023,BRFSS
13121010402,Fulton,9.9,8.8,11.1,3831,2023,BRFSS
13121010508,Fulton,11.4,10.1,12.9,3738,2023,BRFSS
13121010517,Fulton,11.6,10.4,13.1,5335,2023,BRFSS
13121010518,Fulton,10.8,9.7,12.3,3897,2023,BRFSS
13121010519,Fulton,11.3,10.1,12.8,4472,2023,BRFSS
13121010520,Fulton,11.6,10.3,13.1,5652,2023,BRFSS
13121010521,Fulton,11.5,10.2,12.9,2215,2023,BRFSS
13121010522,Fulton,12.1,10.7,13.7,5467,2023,BRFSS
13121010523,Fulton,11.6,10.3,13.0,1988,2023,BRFSS
13121010524,Fulton,11.4,10.2,12.9,3035,2023,BRFSS
13121010525,Fulton,11.8,10.6,13.3,2753,2023,BRFSS
13121010526,Fulton,11.1,9.9,12.5,6894,2023,BRFSS
13121010527,Fulton,11.2,9.9,12.6,5847,2023,BRFSS
13121010528,Fulton,11.4,10.1,12.8,4398,2023,BRFSS
13121010529,Fulton,11.2,9.9,12.6,6290,2023,BRFSS
13121010530,Fulton,11.1,9.8,12.5,2804,2023,BRFSS
13121010531,Fulton,10.2,9.1,11.6,3166,2023,BRFSS
13121010532,Fulton,11.8,10.5,13.2,3765,2023,BRFSS
13121010533,Fulton,11.7,10.4,13.3,2201,2023,BRFSS
13121010534,Fulton,10.9,9.6,12.3,3847,2023,BRFSS
13121010535,Fulton,10.6,9.4,12.0,3129,2023,BRFSS
13121010536,Fulton,11.0,9.8,12.4,3887,2023,BRFSS
13121010537,Fulton,11.5,10.3,13.0,3821,2023,BRFSS
13121010538,Fulton,10.7,9.5,12.1,3181,2023,BRFSS
13121010539,Fulton,11.0,9.7,12.3,3927,2023,BRFSS
13121010540,Fulton,11.4,10.2,12.9,3800,2023,BRFSS
13121010601,Fulton,11.0,9.8,12.5,3064,2023,BRFSS
13121010603,Fulton,11.3,10.0,12.8,3466,2023,BRFSS
13121010604,Fulton,12.1,10.8,13.6,3372,2023,BRFSS
13121010801,Fulton,9.6,8.5,10.7,2637,2023,BRFSS
13121010802,Fulton,10.0,8.8,11.3,3916,2023,BRFSS
13121011000,Fulton,11.2,9.9,12.6,3085,2023,BRFSS
13121011100,Fulton,9.6,8.5,10.8,2524,2023,BRFSS
13121011202,Fulton,10.5,9.3,11.8,4989,2023,BRFSS
13121011203,Fulton,10.7,9.5,12.1,2498,2023,BRFSS
13121011204,Fulton,11.5,10.2,13.0,1620,2023,BRFSS
13121011301,Fulton,10.6,9.4,11.9,4508,2023,BRFSS
13121011306,Fulton,12.0,10.6,13.4,3371,2023,BRFSS
13121011307,Fulton,12.0,10.6,13.5,4631,2023,BRFSS
13121011308,Fulton,11.4,10.1,12.8,1396,2023,BRFSS
13121011309,Fulton,10.4,9.2,11.8,3655,2023,BRFSS
13121011310,Fulton,11.8,10.4,13.3,5137,2023,BRFSS
13121011416,Fulton,8.4,7.5,9.5,5612,2023,BRFSS
13121011417,Fulton,8.2,7.2,9.2,5115,2023,BRFSS
13121011419,Fulton,8.4,7.4,9.6,5798,2023,BRFSS
13121011421,Fulton,9.8,8.7,11.0,3933,2023,BRFSS
13121011422,Fulton,9.0,8.0,10.2,3746,2023,BRFSS
13121011423,Fulton,8.5,7.5,9.6,5484,2023,BRFSS
13121011424,Fulton,8.4,7.4,9.5,5435,2023,BRFSS
13121011426,Fulton,8.4,7.5,9.5,2432,2023,BRFSS
13121011428,Fulton,8.3,7.3,9.4,2776,2023,BRFSS
13121011429,Fulton,8.6,7.6,9.7,5546,2023,BRFSS
13121011430,Fulton,9.4,8.4,10.6,4338,2023,BRFSS
13121011431,Fulton,8.4,7.5,9.6,1970,2023,BRFSS
13121011432,Fulton,9.4,8.3,10.6,4784,2023,BRFSS
13121011433,Fulton,8.4,7.4,9.5,3034,2023,BRFSS
13121011434,Fulton,8.8,7.9,10.0,3209,2023,BRFSS
13121011435,Fulton,8.8,7.8,9.9,4271,2023,BRFSS
13121011436,Fulton,8.5,7.4,9.6,3190,2023,BRFSS
13121011437,Fulton,9.2,8.2,10.3,2911,2023,BRFSS
13121011438,Fulton,8.9,7.9,10.0,4399,2023,BRFSS
13121011439,Fulton,8.6,7.6,9.7,4138,2023,BRFSS
13121011440,Fulton,8.6,7.6,9.8,2352,2023,BRFSS
13121011441,Fulton,8.6,7.6,9.7,3919,2023,BRFSS
13121011442,Fulton,8.6,7.6,9.7,2344,2023,BRFSS
13121011443,Fulton,7.6,6.7,8.6,3303,2023,BRFSS
13121011444,Fulton,8.1,7.1,9.1,3756,2023,BRFSS
13121011445,Fulton,8.3,7.3,9.4,3158,2023,BRFSS
13121011446,Fulton,8.4,7.4,9.5,3428,2023,BRFSS
13121011505,Fulton,8.5,7.5,9.6,4316,2023,BRFSS
13121011507,Fulton,8.8,7.7,10.0,4947,2023,BRFSS
13121011508,Fulton,8.2,7.3,9.4,4262,2023,BRFSS
13121011509,Fulton,8.5,7.6,9.7,2501,2023,BRFSS
13121011510,Fulton,8.1,7.1,9.1,6164,2023,BRFSS
13121011511,Fulton,8.3,7.4,9.4,2794,2023,BRFSS
13121011512,Fulton,8.5,7.5,9.6,2968,2023,BRFSS
13121011513,Fulton,8.6,7.6,9.7,3450,2023,BRFSS
13121011514,Fulton,8.8,7.7,9.9,3589,2023,BRFSS
13121011515,Fulton,8.8,7.7,10.0,2531,2023,BRFSS
13121011612,Fulton,7.9,7.0,8.9,3462,2023,BRFSS
13121011618,Fulton,7.9,7.0,8.9,4647,2023,BRFSS
13121011624,Fulton,7.9,7.0,8.9,4015,2023,BRFSS
13121011627,Fulton,7.6,6.7,8.6,4418,2023,BRFSS
13121011628,Fulton,8.0,7.1,9.0,2857,2023,BRFSS
13121011629,Fulton,7.9,6.9,8.9,4712,2023,BRFSS
13121011630,Fulton,7.8,7.0,8.9,4262,2023,BRFSS
13121011631,Fulton,7.7,6.8,8.7,4542,2023,BRFSS
13121011632,Fulton,7.3,6.4,8.3,3641,2023,BRFSS
13121011633,Fulton,8.4,7.4,9.4,4008,2023,BRFSS
13121011634,Fulton,8.4,7.4,9.4,2721,2023,BRFSS
13121011635,Fulton,6.5,5.7,7.4,4075,2023,BRFSS
13121011636,Fulton,7.3,6.5,8.3,2134,2023,BRFSS
13121011637,Fulton,8.1,7.2,9.2,2836,2023,BRFSS
13121011638,Fulton,8.4,7.4,9.4,4709,2023,BRFSS
13121011639,Fulton,8.1,7.2,9.2,1952,2023,BRFSS
13121011640,Fulton,8.6,7.6,9.7,5189,2023,BRFSS
13121011641,Fulton,8.2,7.3,9.3,4291,2023,BRFSS
13121011642,Fulton,8.6,7.6,9.6,3559,2023,BRFSS
13121011643,Fulton,7.5,6.6,8.5,4671,2023,BRFSS
13121011644,Fulton,8.4,7.4,9.5,3686,2023,BRFSS
13121011645,Fulton,8.2,7.3,9.2,4220,2023,BRFSS
13121011646,Fulton,8.7,7.7,9.7,3059,2023,BRFSS
13121011647,Fulton,8.8,7.8,9.9,5160,2023,BRFSS
13121011648,Fulton,7.1,6.3,8.1,2898,2023,BRFSS
13121011649,Fulton,7.2,6.3,8.1,5387,2023,BRFSS
13121011650,Fulton,7.4,6.6,8.4,4094,2023,BRFSS
13121011651,Fulton,7.7,6.8,8.7,2299,2023,BRFSS
13121011652,Fulton,7.3,6.4,8.3,3372,2023,BRFSS
13121011653,Fulton,8.1,7.2,9.2,3753,2023,BRFSS
13121011654,Fulton,8.9,7.9,10.1,2794,2023,BRFSS
13121011655,Fulton,8.6,7.6,9.8,2977,2023,BRFSS
13121011656,Fulton,7.8,6.9,8.8,4213,2023,BRFSS
13121011657,Fulton,7.9,7.0,8.9,3082,2023,BRFSS
13121011658,Fulton,8.7,7.7,9.9,3931,2023,BRFSS
13121011659,Fulton,7.7,6.9,8.7,2824,2023,BRFSS
13121011660,Fulton,8.1,7.2,9.1,4431,2023,BRFSS
13121011661,Fulton,8.6,7.6,9.8,2187,2023,BRFSS
13121011801,Fulton,9.5,8.3,10.8,1322,2023,BRFSS
13121011802,Fulton,11.7,10.3,13.2,1370,2023,BRFSS
13121011901,Fulton,10.6,9.4,11.9,1859,2023,BRFSS
13121011902,Fulton,10.6,9.3,11.9,1377,2023,BRFSS
13121012000,Fulton,12.3,11.0,13.8,3408,2023,BRFSS
13121012300,Fulton,10.1,9.0,11.4,2777,2023,BRFSS
