GEOID,NAME,B01003_001E
13089022303,Census Tract 223.03; DeKalb County; Georgia,3653
13089022304,Census Tract 223.04; DeKalb County; Georgia,3013
13089022401,Census Tract 224.01; DeKalb County; Georgia,4002
13089022403,Census Tract 224.03; DeKalb County; Georgia,4107
13089022404,Census Tract 224.04; DeKalb County; Georgia,3293
13089022405,Census Tract 224.05; DeKalb County; Georgia,2550
13089022501,Census Tract 225.01; DeKalb County; Georgia,4451
13089022502,Census Tract 225.02; DeKalb County; Georgia,2644
13089022601,Census Tract 226.01; DeKalb County; Georgia,4284
13089022602,Census Tract 226.02; DeKalb County; Georgia,2513
13089022700,Census Tract 227; DeKalb County; Georgia,5414
13089022800,Census Tract 228; DeKalb County; Georgia,4178
13089022900,Census Tract 229; DeKalb County; Georgia,4198
13089023000,Census Tract 230; DeKalb County; Georgia,2403
13089023101,Census Tract 231.01; DeKalb County; Georgia,4033
13089023102,Census Tract 231.02; DeKalb County; Georgia,3131
13089023107,Census Tract 231.07; DeKalb County; Georgia,4289
13089023108,Census Tract 231.08; DeKalb County; Georgia,4065
13089023111,Census Tract 231.11; DeKalb County; Georgia,2263
13089023112,Census Tract 231.12; DeKalb County; Georgia,3978
13089023113,Census Tract 231.13; DeKalb County; Georgia,3232
13089023114,Census Tract 231.14; DeKalb County; Georgia,3855
13089023115,Census Tract 231.15; DeKalb County; Georgia,1803
13089023209,Census Tract 232.09; DeKalb County; Georgia,5608
13089023211,Census Tract 232.11; DeKalb County; Georgia,3850
13089023212,Census Tract 232.12; DeKalb County; Georgia,3358
13089023213,Census Tract 232.13; DeKalb County; Georgia,7620
13089023214,Census Tract 232.14; DeKalb County; Georgia,5797
13089023215,Census Tract 232.15; DeKalb County; Georgia,4233
13089023216,Census Tract 232.16; DeKalb County; Georgia,4337
13089023217,Census Tract 232.17; DeKalb County; Georgia,4231
13089023218,Census Tract 232.18; DeKalb County; Georgia,2906
13089023219,Census Tract 232.19; DeKalb County; Georgia,4398
13089023220,Census Tract 232.20; DeKalb County; Georgia,2967
13089023221,Census Tract 232.21; DeKalb County; Georgia,3568
13089023222,Census Tract 232.22; DeKalb County; Georgia,4192
13089023311,Census Tract 233.11; DeKalb County; Georgia,5205
13089023313,Census Tract 233.13; DeKalb County; Georgia,5589
13089023315,Census Tract 233.15; DeKalb County; Georgia,7509
13089023317,Census Tract 233.17; DeKalb County; Georgia,3410
13089023318,Census Tract 233.18; DeKalb County; Georgia,3904
13089023319,Census Tract 233.19; DeKalb County; Georgia,2928
13089023320,Census Tract 233.20; DeKalb County; Georgia,3960
13089023321,Census Tract 233.21; DeKalb County; Georgia,4466
13089023322,Census Tract 233.22; DeKalb County; Georgia,3157
13089023323,Census Tract 233.23; DeKalb County; Georgia,3940
13089023324,Census Tract 233.24; DeKalb County; Georgia,3587
13089023325,Census Tract 233.25; DeKalb County; Georgia,4923
13089023326,Census Tract 233.26; DeKalb County; Georgia,4206
13089023327,Census Tract 233.27; DeKalb County; Georgia,7251
13089023328,Census Tract 233.28; DeKalb County; Georgia,4689
13089023329,Census Tract 233.29; DeKalb County; Georgia,3669
